review_priority,canonical_name,family,best_title,best_doi,best_openalex_id,evidence_class,verification_status,outcome_state,within_population_polymorphism,geographic_mosaic,n_colour_morphs,colour_morphs,morph_frequency_reported,morph_frequency_data,population_count,sample_size,pollination_mode,dominant_pollinator_group,bumblebee_status,bumblebee_visitation_share,pollinator_richness,frequency_dependent_selection,directional_selection,spatially_varying_selection,temporally_varying_selection,abiotic_selection,herbivory_selection,mating_system,self_compatibility,genetic_basis,environmental_basis,study_region,latitude,longitude,island_status,native_or_introduced,evidence_level,full_text_status,review_notes,reviewer,review_date
P0,Dactylorhiza sambucina,Orchidaceae,"Monitoring of Dactylorhiza sambucina (L.) Soó (Orchidaceae)—Variation in Flowering, Flower Colour Morph Frequencies, and Erratic Population Census Trends",10.3390/d15020179,https://openalex.org/W4318475531,natural_polymorphism,seed_verified,unknown,yes,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,verified_seed,needed,"Central questions of reproductive research on Dactylorhiza sambucina (Orchidaceae) are, if and how pollinator-mediated negative frequency dependent selection might maintain its flower colour polymorphism. As this hypothesis was based on artificial populations, it needs to be verified und",,
P0,Silene littorea,Caryophyllaceae,"The effects of pollination, herbivory and autonomous selfing on the maintenance of flower colour variation in Silene littorea",10.1111/plb.13209,https://openalex.org/W3103775414,natural_polymorphism,seed_verified,unknown,yes,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,verified_seed,needed,"Intraspecific flower colour variation has been generally proposed to evolve as a result of selection driven by biotic or abiotic agents. In a polymorphic population of Silene littorea with pink- and white-flowered plants, we studied pollinators, analysed flower colour perception and tested for differences in pollinator visitation. We also experimentally analysed pollinator limitation in fruit and see",,
P0,Linanthus parryae,Polemoniaceae,PERSPECTIVE: EVOLUTION OF FLOWER COLOR IN THE DESERT ANNUAL LINANTHUS PARRYAE: WRIGHT REVISITED,10.1111/j.0014-3820.2001.tb00650.x,https://openalex.org/W2126691403,natural_polymorphism,seed_verified,unknown,yes,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,verified_seed,needed,"Linanthus parryae, a diminutive desert annual with white or blue flowers, has been the focus of a long-standing debate among evolutionary biologists. At issue is whether the flower color polymorphism in this species is the product of ran",,
P0,Gymnadenia rhellicani,Orchidaceae,Emergence of a floral colour polymorphism by pollinator-mediated overdominance: 3-dimensional data of Gymnadenia rhellicani flowers in DICOM format,,https://openalex.org/W3194954792,natural_polymorphism,seed_verified,unknown,yes,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,verified_seed,needed,Emergence of a floral colour polymorphism by pollinator-mediated overdominance: 3-dimensional data of Gymnadenia rhellicani flowers in DICOM format,,
P1,Anemone coronaria,Ranunculaceae,Distribution under climate change of Anemone coronaria : linking flower colour and seed dispersal,10.1002/njb.05105,https://openalex.org/W7160547221,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"Flower colour polymorphism is driven by divergent selection regimes on the colour morphs across time and space. Anemone coronaria , a colour‐polymorphic geophyte with red, purple, and white flowers, displays a geographic pattern along Israel's aridity gradient: polymorphic populations are restricted to Mediterranean climates, while monomorphic‐red",,
P1,Iris lutescens,Iridaceae,Neutral processes contribute to patterns of spatial variation for flower colour in the Mediterranean Iris lutescens (Iridaceae),10.1093/aob/mcw036,https://openalex.org/W2339618223,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,". natural selection in population differentiation. However, current explanations for the maintenance of flower colour polymorphism mainly rely on balancing selection, while neutral processes have seldom been championed. Iris lutescens (Iridaceae) is a widespread species in the northern Mediterranean basin, which shows a stable and striking purple-yellow flower colour polymorphism. To evaluate the roles of neutral processes in the spatial variation fo",,
P1,Raphanus raphanistrum,Brassicaceae,"Effects of pollinator preference on flower color polymorphism in wild radish, Raphanus raphanistrum (Brassicaceae).",,https://openalex.org/W163160015,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"morphisms in plant populations. Pollinators may prefer one color morph to another, increasing its relative reproductive success, or they may remain constant to either morph, effecting assortative mating. In wild radish, Raphanus raphanistrum, these behaviors affect not only the frequencies of flower color traits, but also the persistence of crop genes in wild populations, as white-flowered plants in predominantly yellow-flowered populations may indicate pas",,
P1,Lupinus pilosus,Fabaceae,Flower‐Colour Polymorphism in Lupinus pilosus in Israel,10.1111/j.1439-0523.1987.tb01189.x,https://openalex.org/W1985541337,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"Abstract Four rare flower‐colour mutants were detected in natural populations of Lupinus pilosus in Israel. The breeding systems and genetic bases of three oif them were examined. Mutants were tagged in wild populations and seed obtained upon open pollination was collected and grown in a, net house which was insect",,
P1,Antirrhinum majus,Plantaginaceae,The role of pollinator-mediated selection in the maintenance of a flower color polymorphism in an Antirrhinum majus hybrid zone,10.15479/at:ista:th_526,https://openalex.org/W2954960215,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"been tested by selection. This provides an excellent opportunity to test the effect of mo- lecular variation on fitness, and how this variation is able to spread through populations in a natural context. The snapdragon Antirrhinum majus is polymorphic in the wild for two loci controlling the distribution of yellow and magenta floral pigments. Where the yellow A. m. striatum and the magenta A. m. pseudomajus meet along a valley in the Spanish Pyren- ees",,
P1,Hesperis matronalis,Brassicaceae,The Impact of Biochemistry vs. Population Membership on Floral Scent Profiles in Colour Polymorphic Hesperis matronalis,10.1093/aob/mcn181,https://openalex.org/W2160805784,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"the relative effects of shared biochemistry and/or localized population-level phenomena on floral scent phenotype, floral scent composition and emission rate were examined in five wild populations of colour polymorphic Hesperis matronalis (Brassicaceae). METHODS: Floral scent was collected by in situ dynamic headspace extraction on purple and white colour morphs in each of five wild populations. Gas chromatography-mass spectroscopy of extracts allowed de",,
