review_id,canonical_name,family,classification_source_id,queue_best_doi,queue_best_openalex_id,queue_best_title,evidence_excerpt,source_match_status,reviewer_label,reviewer_name_or_initials,review_date,review_notes
JBI-001,Agave lechuguilla,Asparagaceae,10.3732/ajb.90.3.377,10.3732/ajb.90.3.377,https://openalex.org/W2092683630,"Geographic patterns in the reproductive ecology of Agave lechuguilla (Agavaceae) in the Chihuahuan desert. I. Floral characteristics, visitors, and fecundity","Geographic patterns in the reproductive ecology of Agave lechuguilla (Agavaceae) in the Chihuahuan desert. I. Floral characteristics, visitors, and fecundity. ors. Differences among populations in the expression of floral characters could result from natural selection for their adaptive value to local conditions. We describe the patterns of variation of flower morphology, color, and fecundity of Agave lechuguilla in 11 populations along a latitudinal gradient encompassing the whole range of the species in the Chihuahuan desert. We found a latitudinal pattern in flower shape and color. Flowers tended to be shorter, more open, and colorful toward the",matches_queue_best_doi,,,,
JBI-002,Anemone palmata,Ranunculaceae,10.1111/plb.13702,10.1111/plb.13702,https://openalex.org/W4402126765,Pollinator response to yellow UV ‐patterned versus white UV ‐patternless flower dimorphism in Anemone palmata,"Flower colour polymorphisms are uncommon but widespread among angiosperms and can be maintained by a variety of balancing selection mechanisms. Anemone palmata is mostly yellow-flowered, but white-flowered plants coexist in some populations. We analysed the distribution of colour morphs of A. palmata across its range. We also characterised their colours and compared their vege",matches_queue_best_doi,,,,
JBI-003,Antirrhinum majus,Plantaginaceae,10.15479/at:ista:th_526,10.15479/at:ista:th_526,https://openalex.org/W2954960215,The role of pollinator-mediated selection in the maintenance of a flower color polymorphism in an Antirrhinum majus hybrid zone,"been tested by selection. This provides an excellent opportunity to test the effect of mo- lecular variation on fitness, and how this variation is able to spread through populations in a natural context. The snapdragon Antirrhinum majus is polymorphic in the wild for two loci controlling the distribution of yellow and magenta floral pigments. Where the yellow A. m. striatum and the magenta A. m. pseudomajus meet along a valley in the Spanish Pyren- ees",matches_queue_best_doi,,,,
JBI-004,Aquilegia coerulea,Ranunculaceae,10.1093/aob/mcv028,10.1093/aob/mcv028,https://openalex.org/W2145222715,"The role of pollinators in maintaining variation in flower colour in the Rocky Mountain columbine, Aquilegia coerulea","The role of pollinators in maintaining variation in flower colour in the Rocky Mountain columbine, Aquilegia coerulea. BACKGROUND AND AIMS: Flower colour varies within and among populations of the Rocky Mountain columbine, Aquilegia coerulea, in conjunction with the abundance of its two major pollinators, hawkmoths and bumble-bees. This study seeks to understand whether the choice of flower colour by these major pollinators can help explain the variation in",matches_queue_best_doi,,,,
JBI-005,Bletilla striata,Orchidaceae,10.3390/ijms26083555,10.3390/ijms26083555,https://openalex.org/W4409335954,Resequencing and Functional Analysis Revealed That BsDFR4 Could Cause the Formation of Different Flower Colors in Bletilla striata (Orchidaceae),"The formation of flower color is closely related to anthocyanin synthesis. In this study, flowers of Bletilla striata (Orchidaceae) exhibiting distinct color morphs were collected and analyzed. The HPLC results showed significantly higher total flavonoid and anthocyanin contents in purple flowers compared to pink counterparts, with inc",matches_queue_best_doi,,,,
JBI-006,Calceolaria uniflora,Calceolariaceae,10.1007/s00606-003-0083-1,10.1007/s00606-003-0083-1,https://openalex.org/W2016058514,Geographic variation in flower color patterns within Calceolaria uniflora Lam. in Southern Patagonia,Geographic variation in flower color patterns within Calceolaria uniflora Lam. in Southern Patagonia. Geographic variation in flower color patterns within Calceolaria uniflora Lam. in Southern Patagonia,matches_queue_best_doi,,,,
JBI-007,Campanula americana,Campanulaceae,10.3389/fpls.2020.00991,10.3389/fpls.2020.00991,https://openalex.org/W3039231158,Geographic Variation in Floral Color and Reflectance Correlates With Temperature and Colonization History,"Geographic Variation in Floral Color and Reflectance Correlates With Temperature and Colonization History. roductive structures. Additionally, flower color may evolve to attract the dominant or most efficient pollinator type in a given population. Here, we evaluate geographic variation in petal coloration across the range of Campanula americana in Eastern North America and test whether color covaries with abiotic factors, the pollination community, and genetic structure established through post-glacial expansion. Consistent with other studies, flowers from coo || The role of pollinator preference in the maintenance of pollen colour variation. BACKGROUND AND AIMS: Pollinators often drive the evolution of floral traits, but their capacity to influence the evolution of pollen colour remains unclear. Pollen colour in Campanula americana is variable and displays a longitudinal cline from prevalence of deep purple in western populations to white and light-purple pollen in eastern populations. While selection for thermal tolerance probably underlies darke || Geographic variation in pollen color is associated with temperature stress. of pollen pigmentation, though it varies among and within species and its biochemical properties affect pollen viability. We characterize the distribution of pollen color across 24 populations of the North American herb Campanula americana, and assess the degree to which this variation is genetically based. We identify abiotic factors that covary with pollen color and test whether germination of light and dark pollen is differentially affected by variable",matches_queue_best_doi,,,,
JBI-008,Convolvulus arvensis,Convolvulaceae,10.1111/plb.13537,10.1111/plb.13537,https://openalex.org/W4376223817,Spatial patterns of flower colour variation in native and introduced ranges of Convolvulus arvensis (Convolvulaceae) revealed by citizen‐science data and machine learning,"s. Investigation of this phenomenon led to multiple discoveries, including the principles of heredity and the foundations of population genetics. I examined flower colour variation across native and introduced ranges of Convolvulus arvensis, which exhibits flower colour polymorphism (individuals have white or pink petals). To study flower colour variation of this species throughout large geographic scale, I used observations gathered from the iNaturalist p",matches_queue_best_doi,,,,
JBI-009,Corydalis cava,Papaveraceae,10.1007/s13592-014-0326-x,10.1007/s13592-014-0326-x,https://openalex.org/W2064420380,Do queens of bumblebee species differ in their choice of flower colour morphs of Corydalis cava (Fumariaceae)?,"Bumblebee queens require a continuous supply of flowering food plants from early spring for the successful development of annual colonies. Early in spring, Corydalis cava provides essential nectar and pollen resources and a choice of flower colour. In this paper, we examine flower colour choice (purple or white) in C. cava and verify the hypothesis that bumblebee queens differ in their c",matches_queue_best_doi,,,,
JBI-010,Dactylorhiza sambucina,Orchidaceae,10.3390/d15020179,10.3390/d15020179,https://openalex.org/W4318475531,"Monitoring of Dactylorhiza sambucina (L.) Soó (Orchidaceae)—Variation in Flowering, Flower Colour Morph Frequencies, and Erratic Population Census Trends","Central questions of reproductive research on Dactylorhiza sambucina (Orchidaceae) are, if and how pollinator-mediated negative frequency dependent selection might maintain its flower colour polymorphism. As this hypothesis was based on artificial populations, it needs to be verified und",matches_queue_best_doi,,,,
