rank,canonical_name,family,best_doi,decision,evidence_class,photo_state_risk,decision_basis
7,Raphanus raphanistrum,Brassicaceae,,exclude_taxonomic_overlap,natural_discrete_polymorphism,low,"The ranked evidence supports colour polymorphism, but the completed cohort's active iNaturalist mapping places R. sativus within the R. raphanistrum lineage; exclude to prevent an overlapping observation pool."
8,Lantana camara,Verbenaceae,10.1007/s44372-024-00072-5,hold_requires_review,natural_discrete_polymorphism,unclear,"The ranked title reports three colour morphs, but the ledger does not yet establish that still-image colour is separable from within-inflorescence age change."
9,Iris pumila,Iridaceae,10.3390/sym15061149,hold_requires_review,unclear,unclear,"The ranked evidence assesses floral colour among traits but does not by itself establish a geographically persistent natural colour polymorphism suitable for this gate."
10,Anemone coronaria,Ranunculaceae,10.1002/njb.05105,eligible,natural_discrete_polymorphism,low,"The ranked evidence explicitly describes red, purple and white flowers with a geographic pattern along an aridity gradient."
11,Hesperis matronalis,Brassicaceae,10.1093/aob/mcn181,eligible,natural_discrete_polymorphism,low,"The ranked evidence explicitly describes purple and white colour-polymorphic wild populations."
12,Digitalis purpurea,Plantaginaceae,10.6084/m9.figshare.29095451.v1,eligible,natural_continuous_variation,low,"The ranked evidence explicitly evaluates flower-colour variation across native and introduced populations."
13,Brassica rapa,Brassicaceae,10.1038/s41598-020-63165-7,exclude_breeding_only,breeding_or_mapping,low,"The ranked evidence concerns a white-flower gene in a constructed Chinese-cabbage mapping population."
14,Lonicera japonica,Caprifoliaceae,10.1186/s12870-021-02877-y,exclude_ontogenetic_transition,developmental_colour_change,high,"The ranked evidence explicitly studies petal colour transitions from green bud to white and yellow developmental stages."
15,Phlox drummondii,Polemoniaceae,10.1111/j.1558-5646.2011.01452.x,eligible,natural_discrete_polymorphism,low,"The ranked evidence identifies natural flower-colour variation associated with reproductive character displacement across the species range."
16,Iris lutescens,Iridaceae,10.1093/aob/mcw036,eligible,natural_discrete_polymorphism,low,"The ranked evidence explicitly describes a stable purple-yellow flower-colour polymorphism across the northern Mediterranean range."
17,Silene littorea,Caryophyllaceae,10.1111/plb.13209,eligible,natural_discrete_polymorphism,low,"The ranked evidence explicitly describes pink- and white-flowered plants in a natural polymorphic population."
18,Medicago sativa,Fabaceae,10.3390/biology15050414,hold_requires_review,unclear,unclear,"The ranked evidence concerns white-flowered alfalfa in high-altitude environments, but the natural-versus-cultivated sampling boundary is not resolved in the current ledger."
19,Lotus corniculatus,Fabaceae,10.1111/j.1469-8137.1981.tb04098.x,eligible,natural_discrete_polymorphism,low,"The ranked evidence reports a geographic survey of dark and light keel-petal morph frequencies across coastal and inland Scotland."
20,Rhododendron simsii,Ericaceae,10.1186/1471-2199-14-13,exclude_breeding_only,breeding_or_mapping,low,"The ranked evidence concerns hybrids and a mapping population used to study ornamental flower colour."
21,Brassica napus,Brassicaceae,10.15368/theses.2014.133,exclude_breeding_only,breeding_or_mapping,low,"The ranked evidence concerns crop progenitors and flower-colour genetics in cultivated canola."
22,Lobelia siphilitica,Campanulaceae,10.1086/656511,eligible,natural_continuous_variation,low,"The ranked evidence estimates natural selection on floral brightness, chroma and hue in wild plants."
23,Ipomopsis aggregata,Polemoniaceae,10.1002/j.1537-2197.1988.tb14186.x,eligible,natural_discrete_polymorphism,low,"The ranked evidence explicitly evaluates red, pink and white colour morphs."
24,Phaseolus vulgaris,Fabaceae,10.21273/hortsci.34.3.454b,exclude_breeding_only,breeding_or_mapping,low,"The ranked evidence uses flower colour as a marker associated with crop-resistance QTL."
25,Datura stramonium,Solanaceae,10.1111/j.0014-3820.2002.tb00143.x,exclude_irrelevant_match,irrelevant_match,unclear,"The ranked best match concerns anther-stigma separation and inbreeding depression, not supported flower-colour variation."
26,Camellia japonica,Theaceae,10.3390/f14010069,exclude_breeding_only,breeding_or_mapping,low,"The ranked evidence concerns an ornamental cultivar and molecular mechanisms of multicoloured flowers."
27,Anemone pavonina,Ranunculaceae,10.6084/m9.figshare.31301656,eligible,natural_discrete_polymorphism,low,"The ranked evidence explicitly describes flower-colour polymorphism associated with spatiotemporal pollinator abundance."
28,Impatiens capensis,Balsaminaceae,10.1111/j.1558-5646.1991.tb05276.x,exclude_irrelevant_match,irrelevant_match,unclear,"The ranked best match concerns microgeographic structure of general morphological and life-history traits and does not support a flower-colour state."
29,Iris germanica,Iridaceae,10.32604/phyton.2020.011545,exclude_irrelevant_match,irrelevant_match,unclear,"The ranked best match concerns reference-gene normalization across tissues and stages rather than natural colour variation."
30,Eschscholzia californica,Papaveraceae,10.1371/journal.pone.0105025,exclude_irrelevant_match,irrelevant_match,unclear,"The ranked best match concerns climatic niche conservatism in an invasive range rather than supported flower-colour variation."
31,Euphorbia pulcherrima,Euphorbiaceae,10.21273/hortsci.34.3.442e,exclude_irrelevant_match,irrelevant_match,unclear,"The ranked best match concerns greenhouse whitefly control rather than flower-colour variation."
32,Linanthus parryae,Polemoniaceae,10.1111/j.0014-3820.2001.tb00650.x,eligible,natural_discrete_polymorphism,low,"The ranked evidence explicitly describes a natural white-blue flower-colour polymorphism."
33,Platystemon californicus,Papaveraceae,10.1002/j.1537-2197.1981.tb12383.x,eligible,natural_discrete_polymorphism,low,"The ranked evidence explicitly describes five genetically controlled flower-colour morphs occupying distinct geographic regions."
