method,species_conditioned,trait_representation,direction_sensitive,assumption,calibration,primary_estimand,benchmark_role,main_limitation
Naive pooled pairwise,No,Pairwise dissimilarity,No,Pairs pooled across species,Nominal correlation test,Pooled turnover + within-species structure,Confounded baseline,Cannot isolate within-species organization
Equal-species matched-null,Yes,"Categorical, scalar or multivariate dissimilarity",No,Within-species exchangeability under null,Matched vertex permutation,Mean strength of within-species spatial organization,Assumption-light default,Conditional on observed rows; metric choice matters
Pair-weighted matched-null,Yes,Pairwise dissimilarity,No,Within-species exchangeability under null,Matched vertex permutation,Pair-weighted spatial organization,Aggregation comparator,High-depth species receive greater inferential weight
Species-rho one-sample test,Yes,Species rho,No,Parametric sampling of species summaries,One-sample t reference,Mean species spatial rho,Simple species-summary comparator,Reference distribution may be fragile
Fixed-intercept logistic common slope,Yes,Binary response,Yes,Common logistic response form and slope,Profile likelihood ratio,Shared signed binary response,Correct-model efficiency comparator,Can lose target alignment under heterogeneous directions
Fixed-intercept continuous common slope,Yes,Scalar continuous,Yes,Common linear slope,OLS/t reference,Shared signed linear response,Direction comparator,Opposing slopes cancel
Common quadratic curvature,Yes,Scalar continuous,Yes,Shared quadratic response,OLS/t reference,Shared curvature sign and magnitude,Nonlinear comparator,Opposing curvature cancels
Common multivariate response vector,Yes,Continuous multivariate,Yes,Shared trait-space response orientation,Multivariate Wald test,Shared signed response vector,Multivariate comparator,Different orientations cancel
Species-specific slope random effects,Yes,Scalar continuous signed slopes,Yes,Meta-analytic slope distribution,Analytic large-sample reference,Mean slope and slope heterogeneity,Flexible-model diagnostic,Analytic calibration was anti-conservative in small-sample benchmark
Permutation-calibrated slope/meta omnibus,Yes,Scalar continuous signed slopes,Yes,Within-species exchangeability under null,Matched within-species trait permutation,Average signed response and/or directional heterogeneity,Calibrated flexible comparator,Different estimand from distance-dissimilarity; computationally heavier
